しんきろう,心綺楼,名詞,東方Project第13.5弾 (2013年5月26日 例大祭10)
とうほうきしんじょう,東方輝針城　～ Double Dealing Character.,名詞,東方Project第14弾 (2013年8月12日 C84)
とうほうきしんじょう,東方輝針城,名詞,東方Project第14弾 (2013年8月12日 C84)
きしんじょう,輝針城,名詞,東方Project第14弾 (2013年8月12日 C84)
だんまくあまのじゃく,弾幕アマノジャク　～ Impossible Spell Card.,名詞,東方Project第14.3弾 (2014年5月11日 例大祭11)
だんまくあまのじゃく,弾幕アマノジャク,名詞,東方Project第14.3弾 (2014年5月11日 例大祭11)
あまのじゃく,アマノジャク,名詞,東方Project第14.3弾 (2014年5月11日 例大祭11)
だんまくあまのじゃく,弾幕アマノジャク　ゴールドラッシュ,名詞,(2014年11月16日 デジゲー博2014)
とうほうしんぴろく,東方深秘録　～ Urban Legend in Limbo.,名詞,東方Project第14.5弾 (2015年5月10日 例大祭12)
とうほうしんぴろく,東方深秘録,名詞,東方Project第14.5弾 (2015年5月10日 例大祭12)
しんぴろく,深秘録,名詞,東方Project第14.5弾 (2015年5月10日 例大祭12)
とうほうかんじゅでん,東方紺珠伝　～ Legacy of Lunatic Kingdom.,名詞,東方Project第15弾 (2015年8月14日 C88)
とうほうかんじゅでん,東方紺珠伝,名詞,東方Project第15弾 (2015年8月14日 C88)
かんじゅでん,紺珠伝,名詞,東方Project第15弾 (2015年8月14日 C88)
とうほうひょういばな,東方憑依華　～ Antinomy of Common Flowers.,名詞,東方Project第15.5弾 (2017年12月29日 C93)
とうほうひょういばな,東方憑依華,名詞,東方Project第15.5弾 (2017年12月29日 C93)
ひょういばな,憑依華,名詞,東方Project第15.5弾 (2017年12月29日 C93)
とうほうてんくうしょう,東方天空璋　～ Hidden Star in Four Seasons.,名詞,東方Project第16弾 (2017年8月11日 C92)
とうほうてんくうしょう,東方天空璋,名詞,東方Project第16弾 (2017年8月11日 C92)
てんくうしょう,天空璋,名詞,東方Project第16弾 (2017年8月11日 C92)
ひふうないとめあだいありー,秘封ナイトメアダイアリー　～ Violet Detector.,名詞,東方Project第16.5弾 (2018年8月10日 C94)
ひふうないとめあだいありー,秘封ナイトメアダイアリー,名詞,東方Project第16.5弾 (2018年8月10日 C94)
ないとめあだいありー,ナイトメアダイアリー,名詞,東方Project第16.5弾 (2018年8月10日 C94)
とうほうきけいじゅう,東方鬼形獣　～ Wily Beast and Weakest Creature.,名詞,東方Project第17弾 (2019年5月5日 例大祭16) ※体験版
とうほうきけいじゅう,東方鬼形獣,名詞,東方Project第17弾 (2019年5月5日 例大祭16) ※体験版
きけいじゅう,鬼形獣,名詞,東方Project第17弾 (2019年5月5日 例大祭16) ※体験版
とうほうぶんかちょう,東方文花帖　～ Bohemian Archive in Japanese Red.,名詞,ファンブック (2005年8月11日 一迅社)
かぜのごうがい,風の号外,名詞,書籍文花帖収録の漫画 (漫画：葉庭)
げんそうのおんがく,幻想の音覚,名詞,
とうほうぐもんしき,東方求聞史紀　～ Perfect Memento in Strict Sense.,名詞,設定資料集 (2006年12月27日 一迅社)
とうほうぐもんしき,東方求聞史紀,名詞,設定資料集 (2006年12月27日 一迅社)
ぐもんしき,求聞史紀,名詞,設定資料集 (2006年12月27日 一迅社)
とうほうぐもんくじゅ,東方求聞口授　～ Symposium of Post-mysticism.,名詞,設定資料集 (2012年4月27日 一迅社)
とうほうぐもんくじゅ,東方求聞口授,名詞,設定資料集 (2012年4月27日 一迅社)
ぐもんくじゅ,求聞口授,名詞,設定資料集 (2012年4月27日 一迅社)
とうほうこうりんどう,東方香霖堂　～ Curiosities of Lotus Asia.,名詞,連載小説 / 単行本 (2010年9月30日 アスキー・メディアワークス)
とうほうこうりんどう,東方香霖堂,名詞,連載小説 / 単行本 (2010年9月30日 アスキー・メディアワークス)
こうりんどう,香霖堂,名詞,連載小説 / 単行本 (2010年9月30日 アスキー・メディアワークス)
とうほうさんげつせい,東方三月精　～ Eastern and Little Nature Deity,名詞,連載漫画 第一部 (漫画：松倉ねむ) / 単行本 (角川書店)
とうほうさんげつせい,東方三月精　～ Strange and Bright Nature Deity,名詞,連載漫画 第二部 (漫画：比良坂真琴) / 単行本 (角川書店)
とうほうさんげつせい,東方三月精　～ Oriental Sacred Place,名詞,連載漫画 第三部 (漫画：比良坂真琴) / 単行本 (角川書店)
とうほうさんげつせい,東方三月精　～ Visionary Fairies in Shrine.,名詞,連載漫画 第四部 (漫画：比良坂真琴)
とうほうさんげつせい,東方三月精,名詞,
さんげつせい,三月精,名詞,
とうほうぼうげっしょう,東方儚月抄　～ Silent Sinner in Blue.,名詞,連載漫画 (漫画：秋★枝) / 単行本 (一迅社)
とうほうぼうげっしょう,東方儚月抄　～ Cage in Lunatic Runagate.,名詞,連載小説 (挿絵：TOKIAME) / 単行本 (2009年12月25日 一迅社)
とうほうぼうげっしょう,東方儚月抄　～ 月のイナバと地上の因幡,名詞,連載4コマ漫画 (漫画：あらたとしひら) / 単行本 (一迅社)
とうほうぼうげっしょう,東方儚月抄,名詞,
ぼうげっしょう,儚月抄,名詞,
とうほうぼうげつしょう,東方儚月抄　～ Silent Sinner in Blue.,名詞,連載漫画 (漫画：秋★枝) / 単行本 (一迅社)
とうほうぼうげつしょう,東方儚月抄　～ Cage in Lunatic Runagate.,名詞,連載小説 (挿絵：TOKIAME) / 単行本 (2009年12月25日 一迅社)
とうほうぼうげつしょう,東方儚月抄　～ 月のイナバと地上の因幡,名詞,連載4コマ漫画 (漫画：あらたとしひら) / 単行本 (一迅社)
とうほうぼうげつしょう,東方儚月抄,名詞,
ぼうげつしょう,儚月抄,名詞,
つきのいなばとちじょうのいなば,月のイナバと地上の因幡,名詞,
ぐりもわーるおぶまりさ,グリモワール オブ マリサ,名詞,ファンブック (2009年7月28日 一迅社)
ぐりもわーるおぶまりさ,グリモワールオブマリサ,名詞,ファンブック (2009年7月28日 一迅社)
ぐりもわーるおぶまりさ,The Grimoire of Marisa,名詞,ファンブック (2009年7月28日 一迅社)
ぐりまり,グリモワール オブ マリサ,名詞,ファンブック (2009年7月28日 一迅社)
ぐりまり,グリモワールオブマリサ,名詞,ファンブック (2009年7月28日 一迅社)
ぐりまり,The Grimoire of Marisa,名詞,ファンブック (2009年7月28日 一迅社)
とうほうしこうばな,東方紫香花　～ Seasonal Dream Vision.,名詞,同人誌 (2005年10月1日 虎の穴)
とうほうしこうばな,東方紫香花,名詞,同人誌 (2005年10月1日 虎の穴)
しこうばな,紫香花,名詞,同人誌 (2005年10月1日 虎の穴)
ろくじゅうねんぶりにむらさきにかおるはな,六十年ぶりに紫に香る花,名詞,東方紫香花収録のZUN氏書き下ろし小説
６０ねんぶりにむらさきにかおるはな,六十年ぶりに紫に香る花,名詞,東方紫香花収録のZUN氏書き下ろし小説
とうほういばらかせん,東方茨歌仙　～ Wild and Horned Hermit.,名詞,連載漫画 (漫画：あずまあや) / 単行本 (一迅社)
とうほういばらかせん,東方茨歌仙,名詞,連載漫画 (漫画：あずまあや) / 単行本 (一迅社)
いばらかせん,茨歌仙,名詞,
とうほうすずなあん,東方鈴奈庵　～ Forbidden Scrollery.,名詞,連載漫画 (漫画：春河もえ) / 単行本 (一迅社)
とうほうすずなあん,東方鈴奈庵,名詞,連載漫画 (漫画：春河もえ) / 単行本 (一迅社)
すずなあん,鈴奈庵,名詞,
とうほうぶんかしんぽう,東方文果真報 Alternative Facts in Eastern Utopia.,名詞,設定資料集 (2017年3月30日 KADOKAWA/アスキー・メディアワークス)
とうほうぶんかしんぽう,東方文果真報,名詞,設定資料集 (2017年3月30日 KADOKAWA/アスキー・メディアワークス)
ぶんかしんぽう,文果真報,名詞,設定資料集 (2017年3月30日 KADOKAWA/アスキー・メディアワークス)
ぐりもわーるおぶうさみ,The Grimoire of Usami 秘封倶楽部異界撮影記録,名詞,ファンブック (2019年4月27日 KADOKAWA/アスキー・メディアワークス)
ぐりもわーるおぶうさみ,The Grimoire of Usami,名詞,ファンブック (2019年4月27日 KADOKAWA/アスキー・メディアワークス)
ぐりもわーるおぶうさみ,グリモワールオブウサミ,名詞,ファンブック (2019年4月27日 KADOKAWA/アスキー・メディアワークス)
とうほうがいらいいへん,東方外來韋編 Strange Creators of Outer World. 壱,名詞,東方Project専門雑誌 第1巻 (2015年9月30日 KADOKAWA/アスキー・メディアワークス)
とうほうがいらいいへん,東方外來韋編 Strange Creators of Outer World. 弐,名詞,東方Project専門雑誌 第2巻 (2016年6月30日 KADOKAWA/アスキー・メディアワークス)
とうほうがいらいいへん,東方外來韋編 Strange Creators of Outer World. 参,名詞,東方Project専門雑誌 第3巻 (2017年3月2日 KADOKAWA/アスキー・メディアワークス)
とうほうがいらいいへん,東方外來韋編 Strange Creators of Outer World. 肆,名詞,東方Project専門雑誌 第4巻 (2017年10月31日 KADOKAWA/アスキー・メディアワークス)
とうほうがいらいいへん,東方外來韋編 Strange Creators of Outer World. 2018 Spring,,
とうほうがいらいいへん,東方外來韋編 Strange Creators of Outer World. 2018 Autumn,,
とうほうがいらいいへん,東方外來韋編 Strange Creators of Outer World. 2019 Spring,,
とうほうがいらいいへん,東方外來韋編 Strange Creators of Outer World.,名詞,
とうほうがいらいいへん,東方外來韋編,名詞,
がいらいいへん,外來韋編,名詞,
ほうらいにんぎょう,蓬莱人形　～ Dolls in Psuedo Paradise,名詞,ZUN's Music Collection vol.1 (2002年12月30日 C63)
ほうらいにんぎょう,蓬莱人形,名詞,ZUN's Music Collection vol.1 (2002年12月30日 C63)
れんだいのやこう,蓮台野夜行　～ Ghostly Field Club,名詞,ZUN's Music Collection vol.2 (2003年12月30日 C65)
れんだいのやこう,蓮台野夜行,名詞,ZUN's Music Collection vol.2 (2003年12月30日 C65)
ゆめたがえかがくせいき,夢違科学世紀　～ Changeability of Strange Dream,名詞,ZUN's Music Collection vol.3 (2004年12月30日 C67)
ゆめたがえかがくせいき,夢違科学世紀,名詞,ZUN's Music Collection vol.3 (2004年12月30日 C67)
ぼうゆうとうかいどう,卯酉東海道　～ Retrospective 53 minutes,名詞,ZUN's Music Collection vol.4 (2006年5月21日 例大祭1)
ぼうゆうとうかいどう,卯酉東海道,名詞,ZUN's Music Collection vol.4 (2006年5月21日 例大祭1)
おおぞらまじゅつ,大空魔術　～ Magical Astronomy,名詞,ZUN's Music Collection vol.5 (2006年8月13日 C70)
おおぞらまじゅつ,大空魔術,名詞,ZUN's Music Collection vol.5 (2006年8月13日 C70)
みちのはなみちのたび,未知の花　魅知の旅,名詞,ZUN's Music Collection vol.5.5 (2011年5月8日 例大祭8)
とりふねいせき,鳥船遺跡　～ Trojan Green Asteroid,名詞,ZUN's Music Collection vol.6 (2012年4月30日 COMIC1☆6)
とりふねいせき,鳥船遺跡,名詞,ZUN's Music Collection vol.6 (2012年4月30日 COMIC1☆6)
いざなぎぶっしつ,伊弉諾物質　～ Neo-traditionalism of Japan.,名詞,ZUN's Music Collection vol.7 (2012年8月11日 C82)
いざなぎぶっしつ,伊弉諾物質,名詞,ZUN's Music Collection vol.7 (2012年8月11日 C82)
えんせきはくぶつし,燕石博物誌　～ Dr.Latency's Freak Report.,名詞,ZUN's Music Collection vol.8 (2016年5月8日 例大祭13)
えんせきはくぶつし,燕石博物誌,名詞,ZUN's Music Collection vol.8 (2016年5月8日 例大祭13)
